,Unnamed: 0,species,id,name,sex,accuracy,birthYear,acquisition,originDate,originLocation,transfers,currently,status,statusDate,COD,entryDate,timespent,count
1155,1156,Bottlenose,"NOA0004933, TG-605",Lpn,U,estimate,1971,Capture,1978-06-26,"Pacific Ocean, ?",California? Pacific Ocean to U.S. Navy MMP (26-Jun-1978),U.S. Navy,Died,1981-11-26,Hepatic necrosis,1978-06-26,1249.0,1
1157,1158,Bottlenose,"NOA0004934, TG-623",,U,estimate,1975,Capture,1979-09-18,"Pacific Ocean, ?",California? Pacific Ocean to U.S. Navy MMP (18-Sep-1979),U.S. Navy,Died,1979-10-03,"Pneumonia, septicemia",1979-09-18,15.0,1
1158,1159,Bottlenose,"NOA0004946, TG-624",Nalunlu,U,estimate,1975,Capture,1979-09-21,"Pacific Ocean, ?",California? Pacific Ocean to U.S. Navy MMP (21-Sep-1979),U.S. Navy,Died,1988-10-17,Heart failure,1979-09-21,3314.0,1
1159,1160,Beluga,"NOA0004937, DL-638",Lly,F,estimate,1978,Capture,1980-07-16,"Hudson Bay, Canada","Hudson Bay, Manitoba to Holding (16-Jul-1980) to U.S. Navy MMP (22-Jul-1980)",U.S. Navy,Died,1982-11-07,Drowning,1980-07-16,844.0,1
1160,1161,Beluga,"NOA0004938, DL-639",Chr,F,estimate,1977,Capture,1980-07-16,"Hudson Bay, Canada","Hudson Bay, Manitoba to Holding (16-Jul-1980) to U.S. Navy MMP (20-Jul-1980)",U.S. Navy,Died,1984-07-14,Electrolyte imbalance,1980-07-16,1459.0,1
1162,1163,Bottlenose,"NOA0004966, TG-641",Mom,U,estimate,1979,Capture,1982-02-03,"Pacific Ocean, ?",California? Pacific Ocean to U.S. Navy MMP (03-Feb-1982),U.S. Navy,Died,1982-02-17,"Pneumonia, septicemia",1982-02-03,14.0,1
1164,1165,Bottlenose,"NOA0004980, TT-651",Fed,M,estimate,1974,Capture,1984-02-24,"Gulf of Mexico, MS, US","Mississippi, Gulf of Mexico to U.S. Navy MMP (24-Feb-1984)",U.S. Navy,Died,1993-08-30,Drowning,1984-02-24,3475.0,1
1165,1166,Bottlenose,"NOA0004978, TT#09",#,F,estimate,,Capture,1984-02-24,"Gulf of Mexico, MS, US","Mississippi, Gulf of Mexico to Holding, Mississippi? (10-Mar-1984)",U.S. Navy,Died,1984-03-10,-,1984-02-24,15.0,1
1166,1167,Bottlenose,"NOA0004984, TT-654",Cry,F,estimate,1981,Capture,1984-03-03,"Gulf of Mexico, MS, US","Mississippi, Gulf of Mexico to U.S. Navy MMP (03-Mar-1984)",U.S. Navy,Died,1988-10-24,Endotoxemia,1984-03-03,1696.0,1
1167,1168,Bottlenose,"NOA0004991, TT-659",Nik,M,estimate,,Capture,1984-03-30,"Gulf of Mexico, MS, US","Mississippi, Gulf of Mexico to U.S. Navy MMP (~ Apr 1984)",U.S. Navy,Died,1985-04-09,"Pneumonia, gastric ulceration",1984-03-30,375.0,1
1168,1169,Bottlenose,"NOA0004989, TT-657",Pnn,F,estimate,1979,Capture,1984-03-30,"Gulf of Mexico, MS, US","Mississippi, Gulf of Mexico to U.S. Navy MMP (~ Apr 1984)",U.S. Navy,Died,1992-10-18,Enterotoxemia,1984-03-30,3124.0,1
1169,1170,Bottlenose,"NOA0005008, TT-665",Snp,M,estimate,1980,Capture,1984-07-26,"Gulf of Mexico, MS, US","Mississippi, Gulf of Mexico to U.S. Navy MMP (27-Aug-1984)",U.S. Navy,Died,1989-06-30,Zygomycosis,1984-07-26,1800.0,1
1170,1171,Bottlenose,"NOA0005011, TT-662",Win,M,estimate,1980,Capture,1984-07-26,"Gulf of Mexico, MS, US","Mississippi, Gulf of Mexico to U.S. Navy MMP (16-Aug-1984)",U.S. Navy,Died,1996-02-02,Amebiasis,1984-07-26,4208.0,1
1171,1172,Bottlenose,"NOA0005012, TT-661",Zicozic,M,estimate,1980,Capture,1984-07-26,"Gulf of Mexico, MS, US","Mississippi, Gulf of Mexico to U.S. Navy MMP (16-Aug-1984)",U.S. Navy,Died,1987-10-29,Bacterial bronchopneumonia,1984-07-26,1190.0,1
1172,1173,Bottlenose,"NOA0005005, TT-668",Brn,M,estimate,1980,Capture,1984-08-06,"Gulf of Mexico, MS, US","Mississippi, Gulf of Mexico to U.S. Navy MMP (~ Sep 1984)",U.S. Navy,Died,1987-08-04,Chronic bronchopneumonia,1984-08-06,1093.0,1
1173,1174,Bottlenose,"NOA0005010, TT-663",Sof,F,estimate,1980,Capture,1984-08-07,"Gulf of Mexico, MS, US","Mississippi, Gulf of Mexico to U.S. Navy MMP (~ Sep 1984)",U.S. Navy,Died,1987-04-23,Toxic shock,1984-08-07,989.0,1
1174,1175,Bottlenose,"NOA0005001, TT-680",Cindercin,F,estimate,1980,Capture,1984-08-20,"Gulf of Mexico, MS, US","Mississippi, Gulf of Mexico to U.S. Navy MMP (~ Sep 1984)",U.S. Navy,Died,2003-01-15,Hemorrhagic gastritis,1984-08-20,6722.0,1
1175,1176,Bottlenose,"NOA0002242, TT-679",Norikonor,F,estimate,1976,Capture,1984-08-20,"Gulf of Mexico, MS, US","Mississippi, Gulf of Mexico to U.S. Navy MMP (~ Sep 1984) to EPCOT Center (25-May-1993) to US Navy (11-Jun-1997)",U.S. Navy,Died,1997-11-07,Acute bacterial septicemia,1984-08-20,4827.0,1
1176,1177,Bottlenose,"NOA0002243, TT-681",Ninanin,F,estimate,1975,Capture,1984-08-30,"Gulf of Mexico, MS, US","Mississippi, Gulf of Mexico to U.S. Navy MMP (~ Sep 1984)",U.S. Navy,Died,2001-09-06,Suppurative peritonitis,1984-08-30,6216.0,1
1177,1178,Bottlenose,"NOA0004998, TT-677",Ell,F,estimate,1976,Capture,1984-09-05,"Gulf of Mexico, MS, US","Mississippi, Gulf of Mexico to U.S. Navy MMP (26-Sep-1984)",U.S. Navy,Died,1992-11-12,Spinal fracture,1984-09-05,2990.0,1
1178,1179,Bottlenose,"NOA0005003, TT-673",Fli,M,estimate,1976,Capture,1984-09-06,"Gulf of Mexico, MS, US","Mississippi, Gulf of Mexico to U.S. Navy MMP (26-Sep-1984)",U.S. Navy,Died,2004-07-15,Bacterial bronchopneumonia,1984-09-06,7252.0,1
1181,1182,Bottlenose,"NOA0005084, TG-710",Brs,M,estimate,1980,Capture,1986-12-29,"Pacific Ocean, HI, US","Hawaii, Pacific Ocean to U.S. Navy MMP (12-Feb-1987)",U.S. Navy,Died,1987-03-01,"Colic, pneumonia",1986-12-29,62.0,1
1182,1183,Pseudorca,"NOA0005035, H5 PC-8705",Lua,M,estimate,1984,Capture,1987-03-01,"Pacific Ocean, Japan","Japan, Pacific Ocean to Holding (??-Mar-1987) to Ocean Park Hong Kong (24-Apr-1987) to U.S. Navy Hawai'i (19-Nov-1987)",U.S. Navy,Died,1988-12-28,Enteritis,1987-03-01,668.0,1
1183,1184,Bottlenose,"NOA0005085, TG-711",Coo,F,estimate,1982,Capture,1987-04-10,"Pacific Ocean, HI, US","Hawaii, Pacific Ocean to U.S. Navy MMP (10-Apr-1987)",U.S. Navy,Died,2000-02-23,Acute bacterial pneumonia,1987-04-10,4702.0,1
1184,1185,Bottlenose,"NOA0005086, TG-712",,M,estimate,1983,Capture,1987-04-20,"Pacific Ocean, HI, US","Hawaii, Pacific Ocean to U.S. Navy MMP (20-Apr-1987)",U.S. Navy,Died,1987-06-06,Bronchopneumonia,1987-04-20,47.0,1
1185,1186,Bottlenose,"NOA0005087, TG-714",Uku,M,estimate,1983,Capture,1987-05-06,"Pacific Ocean, HI, US","Hawaii, Pacific Ocean to U.S. Navy MMP (06-May-1987)",U.S. Navy,Died,1993-07-13,Erysipelothrix septicemia,1987-05-06,2260.0,1
1186,1187,Bottlenose,"NOA0005050, TT-725",Kmu,F,estimate,1977,Capture,1987-06-16,"Gulf of Mexico, MS, US","Mississippi, Gulf of Mexico to U.S. Navy MMP (11-Aug-1987)",U.S. Navy,Died,1993-01-16,Cardiomyopathy,1987-06-16,2041.0,1
1187,1188,Bottlenose,"NOA0004464, N/A",Luther,M,estimate,1979,Capture,1987-07-10,"Gulf of Mexico, MS, US","Mississippi, Gulf of Mexico to U.S. Navy MMP (~ Aug 1987) to Sugarloaf Dolphin Sanctuary (30-Nov-1994) to Florida Keys (23-May-1996) to Florida Keys (30-May-1996) to U.S. Navy MMP (13-Jun-1997)",U.S. Navy,Died,2007-07-31,-,1987-07-10,7326.0,1
1188,1189,Bottlenose,"NOA0005056, TT-731",Cud,F,estimate,1985,Capture,1987-07-16,"Gulf of Mexico, MS, US","Mississippi, Gulf of Mexico to U.S. Navy MMP (25-Aug-1987)",U.S. Navy,Died,2006-01-23,Hemorrhagic shock,1987-07-16,6766.0,1
1189,1190,Bottlenose,"NOA0005055, TT-730",Man,M,estimate,1981,Capture,1987-07-23,"Gulf of Mexico, MS, US","Mississippi, Gulf of Mexico to U.S. Navy MMP (25-Aug-1987)",U.S. Navy,Died,2000-03-03,Cryptococcal pneumonia,1987-07-23,4607.0,1
1190,1191,Bottlenose,"NOA0005053, TT-728",Spu,M,estimate,1980,Capture,1987-07-23,"Gulf of Mexico, MS, US","Mississippi, Gulf of Mexico to U.S. Navy MMP (~ Aug 1987)",U.S. Navy,Died,1995-02-09,Phyllospadix bezoar,1987-07-23,2758.0,1
1191,1192,Bottlenose,"NOA0005091, TG-735",Mni,F,estimate,1985,Capture,1987-07-25,"Pacific Ocean, HI, US","Hawaii, Pacific Ocean to U.S. Navy MMP (25-Jul-1987)",U.S. Navy,Died,1993-01-02,Bronchopneumonia,1987-07-25,1988.0,1
1192,1193,Bottlenose,"NOA0005090, TG-734",Mnu,F,estimate,1984,Capture,1987-07-25,"Pacific Ocean, HI, US","Hawaii, Pacific Ocean to U.S. Navy MMP (25-Jul-1987)",U.S. Navy,Died,1994-07-09,Pneumonia,1987-07-25,2541.0,1
1193,1194,Bottlenose,"NOA0005058, TT-742",Wazoowaz,M,estimate,1986,Capture,1988-07-15,"Gulf of Mexico, MS, US","Mississippi, Gulf of Mexico to U.S. Navy MMP (17-Aug-1988)",U.S. Navy,Died,1995-10-06,Pneumonia,1988-07-15,2639.0,1
1194,1195,Bottlenose,"NOA0005059, TT-743",Nap,M,estimate,1986,Capture,1988-07-16,"Gulf of Mexico, MS, US","Mississippi, Gulf of Mexico to U.S. Navy MMP (~ Aug 1988)",U.S. Navy,Died,1991-08-08,Pneumonia,1988-07-16,1118.0,1
1195,1196,Bottlenose,"NOA0005065, TT-749",Yakimayak,M,estimate,1979,Capture,1988-07-20,"Gulf of Mexico, MS, US","Mississippi, Gulf of Mexico to U.S. Navy MMP (17-Aug-1988)",U.S. Navy,Died,1991-09-09,Pneumonia,1988-07-20,1146.0,1
1196,1197,Bottlenose,"NOA0005072, TT-756",Hur,M,estimate,1982,Capture,1988-08-29,"Gulf of Mexico, MS, US","Mississippi, Gulf of Mexico to U.S. Navy MMP (~ Sep 1988)",U.S. Navy,Died,2000-02-27,Disseminating cryptococcosis,1988-08-29,4199.0,1
1197,1198,Risso's,"NOA0005041, GG-766",Gondogon,F,estimate,1953,Capture,1989-01-01,"Taiiji, Japan","Hatakejiriwan, Taiji to Holding (??-???-1989) to U.S. Navy Kaneohe Bay (19-Apr-1989)",U.S. Navy Hawaii,Died,1989-06-02,Meningoencephalitis,1989-01-01,152.0,1
1198,1199,Bottlenose,"NOA0005078, TT-767",Tri,M,estimate,1980,Capture,1989-04-20,"Gulf of Mexico, MS, US","Mississippi, Gulf of Mexico to U.S. Navy MMP (~ May 1989)",U.S. Navy,Died,2000-05-04,Pulmonary edema,1989-04-20,4032.0,1
1199,1200,Bottlenose,"NOA0005079, TT-768",Teh,M,estimate,1982,Capture,1989-05-11,"Gulf of Mexico, MS, US","Mississippi, Gulf of Mexico to U.S. Navy MMP (15-Jun-1989)",U.S. Navy,Died,1995-02-02,Phyllospadix bezoar,1989-05-11,2093.0,1
1200,1201,Bottlenose,"NOA0005081, TT-771",Jefe,M,estimate,1980,Capture,1989-08-09,"Gulf of Mexico, MS, US","Mississippi, Gulf of Mexico to U.S. Navy MMP (11-Sep-1989)",U.S. Navy,Died,2011-08-26,Euthanasia,1989-08-09,8052.0,1
1201,1202,Bottlenose,"NOA0005082, TT-773",Yogiyog,M,estimate,1980,Capture,1989-08-09,"Gulf of Mexico, MS, US","Mississippi, Gulf of Mexico to U.S. Navy MMP (19-Sep-1989)",U.S. Navy,Died,1999-04-28,Suppurative peritonitis,1989-08-09,3549.0,1
1202,1203,Bottlenose,"NOA0004462, TT-775",Jake,M,estimate,1978,Capture,1989-08-24,"Gulf of Mexico, MS, US","Mississippi, Gulf of Mexico to U.S. Navy MMP (05-Oct-1989) to Sugarloaf Dolphin Sanctuary (30-Nov-1994) to U.S. Navy MMP (13-Jun-1997)",U.S. Navy,Died,1999-04-28,Perforation of upper GI tract,1989-08-24,3534.0,1
1217,1218,Bottlenose,"NOA0006619, TT-860",Mokemok,M,estimate,2008,Rescue,2009-11-10,"Gulf Shores, AL, US","Gulf Shores, Alabama to Inst. of Marine Mammal Studies (10-Nov-2009) to U.S. Navy MMP (23-Jun-2010)",U.S. Navy,Died,2015-02-06,Seawater drowning,2009-11-10,1914.0,1
1218,1219,Bottlenose,NOA0000847,X,M,unknown,,Capture,1972-06-01,Unknown,,Aquatic Mammal Enterprises,Died,1978-11-25,,1972-06-01,2368.0,1
1219,1220,Bottlenose,NOA0000848,X,M,unknown,,Capture,1972-06-01,Unknown,,Aquatic Mammal Enterprises,Died,1977-11-05,PNEUMONIA AND SEPTECEMAIA,1972-06-01,1983.0,1
1220,1221,Bottlenose,NOA0000849,Ruby,F,unknown,,Capture,1972-06-01,Unknown,,Aquatic Mammal Enterprises,Died,1977-08-21,FUNGAL INFECTION,1972-06-01,1907.0,1
1221,1222,Bottlenose,NOA0000850,X,F,estimate,1970,Capture,1972-06-01,Unknown,,Aquatic Mammal Enterprises,Died,1975-08-20,STOMACH INFECTION,1972-06-01,1175.0,1
1222,1223,Bottlenose,NOA0000851,X,M,unknown,,Capture,1978-01-31,Unknown,,Aquatic Mammal Enterprises,Died,1978-02-19,BRONCHOPNEUMONIA,1978-01-31,19.0,1
1223,1224,Bottlenose,NOA0000852,Riglee,F,estimate,1976,Capture,1978-12-15,Unknown,,Aquatic Mammal Enterprises,Died,1984-10-04,ENTERITIS,1978-12-15,2120.0,1
1226,1227,Bottlenose,NOA0000710,Spray,F,estimate,1974,Capture,1978-04-22,Unknown,,Marine World Africa USA,Died,1998-03-19,Histology pending; Toxic complications of pregnancy,1978-04-22,7271.0,1
1227,1228,Bottlenose,NOA0000709,Coral,F,estimate,1986,Capture,1989-05-11,Unknown,,Marine World Africa USA,Died,1996-03-06,Awaiting histopathological report,1989-05-11,2491.0,1
1230,1231,Bottlenose,NOA0004460,Bogie,F,estimate,1984,Capture,1988-01-30,Unknown,,Dolphin Alliance,Released,1996-05-17,,1988-01-30,3030.0,1
1231,1232,Bottlenose,NOA0004461,Bacall,F,estimate,1984,Capture,1988-01-30,Unknown,,Dolphin Alliance,Released,1996-05-17,,1988-01-30,3030.0,1
1232,1233,Bottlenose,NOA0005074,Wil,M,estimate,,Capture,1988-09-08,Unknown,,"Dolphin Connection, Inc., The",Died,2012-04-12,complications due to pneumonia,1988-09-08,8617.0,1
1233,1234,Bottlenose,NOA0004421,Cindy,F,estimate,1977,Capture,1981-11-18,Unknown,,Dolphin Research Center,Died,2000-01-17,Multifactoral,1981-11-18,6634.0,1
1234,1235,Bottlenose,NOA0004394,,M,estimate,1973,Capture,1975-08-01,Unknown,,Dolphin Research Center,Died,1984-10-26,STAPHYLOCOCCAL SEPTICEMIA,1975-08-01,3374.0,1
1235,1236,Bottlenose,NOA0003417,,M,estimate,1975,Capture,1980-07-16,Unknown,,Marine Life Oceanarium,Died,1980-07-30,Peracute Pneumonia (Acute Septicemia),1980-07-16,14.0,1
1236,1237,Bottlenose,NOA0001307,Albert,M,estimate,1958,Capture,1969-06-01,Unknown,,"Gulf World Marine Park, Inc.",Died,1999-06-14,Heart Failure,1969-06-01,10970.0,1
1237,1238,Bottlenose,NOA0001308,Delphine,F,estimate,1960,Capture,1969-06-01,Unknown,,"Gulf World Marine Park, Inc.",Died,1983-09-02,"PYELONEPHRITIS, SEPTICEMIA",1969-06-01,5206.0,1
1238,1239,Bottlenose,NOA0001309,Misty,F,estimate,1972,Capture,1978-06-01,Unknown,,"Gulf World Marine Park, Inc.",Died,1982-03-03,ACUTE DIGESTIVE INFECTIONS,1978-06-01,1371.0,1
1239,1240,Bottlenose,NOA0001310,Bimbo,F,estimate,1962,Capture,1972-06-01,Unknown,,"Gulf World Marine Park, Inc.",Died,1976-10-10,ANOREXIA,1972-06-01,1592.0,1
1240,1241,Bottlenose,NOA0001311,Gwin,F,estimate,1962,Capture,1978-06-01,Unknown,,"Gulf World Marine Park, Inc.",Died,1984-12-08,PNEUMONIA,1978-06-01,2382.0,1
1241,1242,Bottlenose,NOA0001317,Ellie,F,estimate,1980,Capture,1984-12-30,Unknown,,"Gulf World Marine Park, Inc.",Died,1994-07-31,SEPTICEMIA,1984-12-30,3500.0,1
1242,1243,Bottlenose,NOA0001321,Josie,F,estimate,1978,Capture,1986-01-23,Unknown,,"Gulf World Marine Park, Inc.",Died,1992-12-27,CHRONIC PNEUMONIA,1986-01-23,2530.0,1
1243,1244,Bottlenose,NOA0001322,Delphene,F,estimate,1976,Capture,1989-08-10,Unknown,,"Gulf World Marine Park, Inc.",Died,2003-12-13,Zaigomycosis,1989-08-10,5238.0,1
1244,1245,Bottlenose,NOA0001324,Thunder,M,estimate,1976,Capture,1989-08-10,Unknown,,"Gulf World Marine Park, Inc.",Died,1992-08-15,mycotic menigoencephalitis,1989-08-10,1101.0,1
1245,1246,Bottlenose,NOA0004987,Oli,F,estimate,,Capture,1984-03-23,Unknown,,"Gulf World Marine Park, Inc.",Died,1999-07-14,Zygo - Apophycomyces Elegans,1984-03-23,5591.0,1
1246,1247,Bottlenose,NOA0005595,Cole,M,estimate,,Rescue,1995-07-31,Unknown,,"Gulf World Marine Park, Inc.",Died,1998-04-20,Zycomycosis,1995-07-31,994.0,1
1247,1248,Rough-Toothed,NOA0005639,Joe Bob,M,estimate,1994,Rescue,1996-02-24,Unknown,,"Gulf World Marine Park, Inc.",Died,2006-02-04,Encephalitis,1996-02-24,3633.0,1
1251,1252,Bottlenose,NOA0005918,Cola,F,estimate,1986,Rescue,1998-09-15,Unknown,,"Gulf World Marine Park, Inc.",Died,2008-05-14,chronic discospondylitis,1998-09-15,3529.0,1
1252,1253,Bottlenose,NOA0006000,Savannah,F,unknown,1999,Rescue,2000-08-28,Unknown,,"Gulf World Marine Park, Inc.",Died,2004-02-06,pathology pending,2000-08-28,1257.0,1
1256,1257,Bottlenose,NOA0006165,Nemo,M,estimate,2003,Rescue,2003-05-15,Unknown,,"Gulf World Marine Park, Inc.",Died,2004-03-21,pathology pending,2003-05-15,311.0,1
1257,1258,Rough-Toothed,NOA0006223,Vixen,F,estimate,2001,Rescue,2002-12-25,Unknown,,"Gulf World Marine Park, Inc.",Died,2011-07-02,results pending,2002-12-25,3111.0,1
1258,1259,Rough-Toothed,NOA0006307,Noah,M,unknown,2003,Rescue,2004-08-26,Unknown,,"Gulf World Marine Park, Inc.",Died,2009-09-25,Zygomycosis; histology pending,2004-08-26,1856.0,1
1259,1260,Bottlenose,NOA0006315,Magic,F,estimate,2004,Rescue,2005-09-04,Unknown,,"Gulf World Marine Park, Inc.",Died,2007-06-10,suspected zygomycosis,2005-09-04,644.0,1
1260,1261,Rough-Toothed,NOA0006397,Dancer,F,estimate,,Rescue,2007-03-24,Unknown,,"Gulf World Marine Park, Inc.",Died,2011-05-07,intestinal intussusception and volvulus,2007-03-24,1505.0,1
1264,1265,Bottlenose,NOA0005356,Tia,F,estimate,,Capture,1984-08-07,Unknown,,"Gulfarium, Gulf Exhibition Corp",Died,1995-11-13,sepsis (multiple abdominal adhesions),1984-08-07,4115.0,1
1265,1266,Bottlenose,NOA0005357,Sus,F,estimate,,Capture,1984-08-07,Unknown,,"Gulfarium, Gulf Exhibition Corp",Died,1995-09-23,RUPTERED UTERUS WITH SEPTIC SHOCK,1984-08-07,4064.0,1
1266,1267,Bottlenose,NOA0005359,Jig,F,estimate,,Capture,1988-07-20,Unknown,,"Gulfarium, Gulf Exhibition Corp",Died,1995-12-28,disseminated zygomycosis,1988-07-20,2717.0,1
1267,1268,Bottlenose,NOA0005358,Pua,F,estimate,,Capture,1989-08-09,Unknown,,"Gulfarium, Gulf Exhibition Corp",Died,1996-05-26,Zygomycosis,1989-08-09,2482.0,1
1268,1269,Bottlenose,NOA0005293,Herman,M,estimate,1965,Rescue,1965-07-06,Unknown,,"Gulfarium, Gulf Exhibition Corp",Died,1978-02-14,ACCIDENTAL DROWNING,1965-07-06,4606.0,1
1269,1270,Bottlenose,NOA0005294,Belinda,F,estimate,1961,Capture,1967-04-15,Unknown,,"Gulfarium, Gulf Exhibition Corp",Died,1985-12-12,"MULTIPLE ORGAN FAILURE, OLD AGE",1967-04-15,6816.0,1
1270,1271,Bottlenose,NOA0005295,Wendy,F,estimate,1963,Capture,1967-04-15,Unknown,,"Gulfarium, Gulf Exhibition Corp",Died,1986-12-23,OLD AGE,1967-04-15,7192.0,1
1271,1272,Bottlenose,NOA0005296,Peebles,F,estimate,1966,Capture,1967-04-15,Unknown,,"Gulfarium, Gulf Exhibition Corp",Died,1977-05-16,PNEUMONIA,1967-04-15,3684.0,1
1272,1273,Bottlenose,NOA0005297,Kim,F,estimate,1965,Capture,1972-12-14,Unknown,,"Gulfarium, Gulf Exhibition Corp",Died,1977-03-11,"PNEUMONIA, HEMOSIDEROSIS",1972-12-14,1548.0,1
1276,1277,Bottlenose,NOA0005301,King,M,estimate,1972,Capture,1977-04-21,Unknown,,"Gulfarium, Gulf Exhibition Corp",Died,1978-11-12,UNKNOWN,1977-04-21,570.0,1
1277,1278,Bottlenose,NOA0005302,Princess,F,estimate,1973,Capture,1977-04-21,Unknown,,"Gulfarium, Gulf Exhibition Corp",Died,2011-07-08,renal carcinoma,1977-04-21,12496.0,1
1278,1279,Bottlenose,NOA0005303,Angel,F,estimate,1971,Capture,1977-04-21,Unknown,,"Gulfarium, Gulf Exhibition Corp",Died,1990-01-22,ACUTE PERITONITIS & TERM PULMONARY EDEMA,1977-04-21,4659.0,1
1279,1280,Bottlenose,NOA0005304,Bubbles,F,estimate,1973,Capture,1978-08-23,Unknown,,"Gulfarium, Gulf Exhibition Corp",Died,1994-07-19,CENTRAL NERVOUS SYSTEM ZYGOMYCOSIS,1978-08-23,5809.0,1
1280,1281,Bottlenose,NOA0005305,Misty,F,estimate,1974,Capture,1978-08-23,Unknown,,"Gulfarium, Gulf Exhibition Corp",Died,1987-09-02,PULMONARY EDEMA & PERIOCARDIAL EFFUSSION,1978-08-23,3297.0,1
1283,1284,Bottlenose,NOA0005308,Duke,M,estimate,1980,Rescue,1980-04-27,Unknown,,"Gulfarium, Gulf Exhibition Corp",Died,1980-05-14,KLEBSIELLA PNEUMONIA,1980-04-27,17.0,1
1284,1285,Bottlenose,NOA0005309,Sheba,F,estimate,1975,Capture,1980-06-18,Unknown,,"Gulfarium, Gulf Exhibition Corp",Died,1985-12-12,BRIAN HEMORRHAGE,1980-06-18,2003.0,1
1285,1286,Bottlenose,NOA0005310,Fatima,F,estimate,1973,Capture,1980-06-18,Unknown,,"Gulfarium, Gulf Exhibition Corp",Died,1985-10-07,COLIC,1980-06-18,1937.0,1
1286,1287,Bottlenose,NOA0005311,Samson,M,estimate,1974,Capture,1980-06-18,Unknown,,"Gulfarium, Gulf Exhibition Corp",Died,1985-06-04,DIED OF SHOCK DURING TREATMENT,1980-06-18,1812.0,1
1287,1288,Bottlenose,NOA0005334,Toni,F,estimate,1976,Capture,1984-07-03,Unknown,,"Gulfarium, Gulf Exhibition Corp",Released,1984-08-26,,1984-07-03,54.0,1
1288,1289,Bottlenose,NOA0005338,Prince (Pearl),M,estimate,1979,Capture,1985-12-08,Unknown,,"Gulfarium, Gulf Exhibition Corp",Died,2004-09-18,peracute bacterial septicema,1985-12-08,6859.0,1
1289,1290,Bottlenose,NOA0005340,Cindy,F,estimate,1981,Capture,1987-12-30,Unknown,,"Gulfarium, Gulf Exhibition Corp",Died,1993-11-12,HEPATIC FAILURE; (CALF IN UTERO),1987-12-30,2144.0,1
1290,1291,Bottlenose,NOA0005347,Lybra,F,estimate,1984,Capture,1988-06-13,Unknown,,"Gulfarium, Gulf Exhibition Corp",Died,1993-06-30,"CEREBRAL ZYGOMYCOSIS, PERACUTE",1988-06-13,1843.0,1
1292,1293,Bottlenose,NOA0005355,April,F,estimate,1991,Rescue,1991-04-05,Unknown,,"Gulfarium, Gulf Exhibition Corp",Died,1993-08-26,SEPTICEMIA/PULMONARY & BRAIN ABSCESSES,1991-04-05,874.0,1
1293,1294,Pantropical Spotted,NOA0005437,Kiwi,F,estimate,1993,Rescue,1993-09-06,Unknown,,"Gulfarium, Gulf Exhibition Corp",Died,2010-02-27,respitory failure,1993-09-06,6018.0,1
1294,1295,Pantropical Spotted,NOA0005818,Daphne,F,estimate,1998,Rescue,1998-06-25,Unknown,,"Gulfarium, Gulf Exhibition Corp",Died,2007-04-23,axonopathy,1998-06-25,3224.0,1
1295,1296,Atlantic Spotted,NOA0006276,Hurricane,M,estimate,2004,Rescue,2004-09-28,Unknown,,"Gulfarium, Gulf Exhibition Corp",Died,2007-04-24,necrotizing pancreatitis,2004-09-28,938.0,1
1296,1297,Bottlenose,NOA0006361,@ RiverheadFound.,F,estimate,2005,Rescue,2006-09-27,Unknown,,"Gulfarium, Gulf Exhibition Corp",Died,2010-09-29,bacterial meningitis,2006-09-27,1463.0,1
1297,1298,Bottlenose,NOA0001361,Kea,F,estimate,1965,Capture,1969-02-15,Unknown,,Kewalo Basin Marine Mammal Laboratory,Released,1977-05-27,,1969-02-15,3023.0,1
1298,1299,Bottlenose,NOA0001362,Nana,F,estimate,1957,Capture,1969-02-15,Unknown,,Kewalo Basin Marine Mammal Laboratory,Died,1970-06-15,SKIN ERUPTIONS,1969-02-15,485.0,1
1300,1301,Bottlenose,NOA0001366,Elele,F,estimate,1985,Capture,1986-07-16,Unknown,,Kewalo Basin Marine Mammal Laboratory,Died,2000-12-16,Clostridial Enteritis and Enterotoxemia,1986-07-16,5267.0,1
1304,1305,Bottlenose,NOA0001364,Phoenix,F,estimate,1976,Capture,1978-06-09,Unknown,,Kewalo Basin Marine Mammal Laboratory,Died,2004-01-10,Lung Inflamation; possible disseminate cancer,1978-06-09,9346.0,1
1305,1306,Bottlenose,NOA0001365,Akeakamai,F,estimate,1976,Capture,1978-06-09,Unknown,,Kewalo Basin Marine Mammal Laboratory,Died,2003-11-02,Metastatic Cancer,1978-06-09,9277.0,1
1306,1307,Bottlenose,NOA0001367,Hiapo,M,estimate,1985,Capture,1986-07-17,Unknown,,Kewalo Basin Marine Mammal Laboratory,Died,2004-02-24,died unexpectedly; undetermined,1986-07-17,6431.0,1
1307,1308,Bottlenose,NOA0001288,How,M,estimate,,Capture,1987-06-16,Unknown,,Horizons West LTD DBA Marine Life Aquarium,Died,1997-08-02,Chronic inflamatory disease,1987-06-16,3700.0,1
1308,1309,Bottlenose,NOA0004524,Tiger,F,estimate,1949,Capture,1964-11-15,Unknown,,Institute for Marine Sciences,Died,1995-05-28,Possibly due to complications of a Pseudomonas aeruginosapneumonia.,1964-11-15,11151.0,1
1309,1310,Bottlenose,NOA0004525,Mabel,F,estimate,1954,Capture,1964-12-15,Unknown,,Institute for Marine Sciences,Died,1995-08-10,CHRONIC LIVER FAILURE COMPLICATED BYCHRONIC RESPIRATORY INFECTION,1964-12-15,11195.0,1
